"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2","0.028922","::","ff02::1:ffd5:d700","ICMPv6","78","Neighbor Solicitation for fe80::eaa:b7ff:fed5:d700"
"3","0.139627","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"4","0.813456","::","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"5","1.034374","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"6","1.035372","fe80::eaa:b7ff:fed5:d700","ff02::2","ICMPv6","70","Router Solicitation from 0c:aa:b7:d5:d7:00"
"7","1.138097","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","110","Multicast Listener Report Message v2"
"8","1.408374","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"9","1.891590","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"10","1.897574","192.168.0.2","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"11","2.169846","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","216","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"12","2.195776","192.168.0.2","224.0.0.251","MDNS","252","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question ANY 2.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.2 PTR genericx86.local AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"13","2.385269","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","216","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"14","2.386267","192.168.0.2","224.0.0.251","MDNS","252","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question ANY 2.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.2 PTR genericx86.local AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"15","2.553819","192.168.0.2","224.0.0.22","IGMPv3","60","Membership Report / Join group 224.0.0.251 for any sources"
"16","2.556810","fe80::eaa:b7ff:fed5:d700","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"17","2.635601","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","216","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"18","2.636597","192.168.0.2","224.0.0.251","MDNS","252","Standard query 0x0000 ANY 0.0.7.d.5.d.e.f.f.f.7.b.a.a.e.0.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY genericx86.local, ""QM"" question ANY 2.0.168.192.in-addr.arpa, ""QM"" question A 192.168.0.2 PTR genericx86.local AAAA fe80::eaa:b7ff:fed5:d700 PTR genericx86.local"
"19","2.866981","192.168.0.2","224.0.0.251","MDNS","234","Standard query response 0x0000 PTR, cache flush genericx86.local A, cache flush 192.168.0.2 PTR, cache flush genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700"
"20","2.866981","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","204","Standard query response 0x0000 PTR, cache flush genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700"
"21","3.102860","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","210","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"22","3.102860","192.168.0.2","224.0.0.251","MDNS","190","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"23","3.354208","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","210","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"24","3.354208","192.168.0.2","224.0.0.251","MDNS","190","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"25","3.607254","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","210","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"26","3.607254","192.168.0.2","224.0.0.251","MDNS","190","Standard query 0x0000 ANY genericx86._ssh._tcp.local, ""QM"" question ANY genericx86._sftp-ssh._tcp.local, ""QM"" question SRV 0 0 22 genericx86.local TXT SRV 0 0 22 genericx86.local TXT"
"27","3.810563","192.168.0.2","224.0.0.251","MDNS","301","Standard query response 0x0000 TXT, cache flush PTR genericx86._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700 A, cache flush 192.168.0.2 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86._ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local PTR _ssh._tcp.local"
"28","3.810563","fe80::eaa:b7ff:fed5:d700","ff02::fb","MDNS","305","Standard query response 0x0000 TXT, cache flush PTR genericx86._sftp-ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local AAAA, cache flush fe80::eaa:b7ff:fed5:d700 TXT, cache flush PTR _sftp-ssh._tcp.local PTR genericx86._ssh._tcp.local SRV, cache flush 0 0 22 genericx86.local PTR _ssh._tcp.local"
